,school_name,address,Ambitious_Instruction,Collaborative_Teachers,Effective_Leaders,Involved_Families,Supportive_Environment,signed_silhouettes,income
213,Friedrich L. Jahn Elementary of the Fine Arts,"3149 N Wolcott Ave, Chicago, IL 60657",59.0,36.0,32.0,53.0,50.0,0.5830473711753441,74895.0
214,Friedrich W von Steuben Metropolitan Science HS,"5039 N Kimball Ave, Chicago, IL 60625",75.0,68.0,48.0,74.0,63.0,-0.40673890646923844,53288.0
215,Gage Park High School,"5630 S Rockwell St, Chicago, IL 60629",49.0,62.0,51.0,72.0,40.0,0.3676151570506374,50099.0
216,Galileo Math & Science Scholastic Academy ES,"820 S Carpenter St, Chicago, IL 60607",68.0,46.0,56.0,57.0,38.0,0.5421803144076655,59427.0
217,Genevieve Melody Elementary School,"3937 W Wilcox St, Chicago, IL 60624",82.0,56.0,50.0,48.0,67.0,0.14262217921163672,28695.0
218,George Armstrong International Studies ES,"2110 W Greenleaf Ave, Chicago, IL 60645",86.0,91.0,77.0,87.0,58.0,-0.7191125193032016,52022.0
219,George B McClellan Elementary School,"3527 S Wallace St, Chicago, IL 60609",65.0,68.0,58.0,78.0,37.0,-0.06445868971718074,31357.0
220,George B Swift Elementary Specialty School,"5900 N Winthrop Ave, Chicago, IL 60660",66.0,45.0,41.0,66.0,40.0,0.6245477934500592,45169.0
221,George F Cassell Elementary School,"11314 S Spaulding Ave, Chicago, IL 60655",90.0,63.0,61.0,72.0,71.0,-0.5087361397218795,73296.0
222,George H Corliss High School,"821 E 103rd St, Chicago, IL 60628",65.0,61.0,51.0,55.0,45.0,0.48806370087459283,47232.0
223,George Leland Elementary School,"512 S Lavergne Ave, Chicago, IL 60644",72.0,91.0,83.0,90.0,28.0,-0.4607399384326616,35248.0
224,George M Pullman Elementary School,"11311 S Forrestville Ave, Chicago, IL 60628",78.0,40.0,45.0,57.0,55.0,0.5240269921727884,47232.0
225,George Manierre Elementary School,"1420 N Hudson Ave, Chicago, IL 60610",64.0,50.0,44.0,52.0,36.0,0.5759286653668744,70682.0
226,George Rogers Clark Elementary School,"1045 S Monitor Ave, Chicago, IL 60644",98.0,83.0,68.0,93.0,86.0,-0.7005387494845366,35248.0
227,George W Curtis Elementary School,"32 E 115th St, Chicago, IL 60628",81.0,63.0,65.0,61.0,46.0,-0.20428209025774596,47232.0
228,George W Tilton Elementary School,"223 N Keeler Ave, Chicago, IL 60624",75.0,67.0,60.0,54.0,59.0,-0.13795197990608193,28695.0
229,George Washington Carver Military Academy HS,"13100 S Doty Ave, Chicago, IL 60827",75.0,74.0,59.0,82.0,56.0,-0.5948416785897651,39986.0
230,George Washington Carver Primary School,"901 E 133rd Pl, Chicago, IL 60827",61.0,26.0,4.0,8.0,33.0,0.6028223697117691,39986.0
231,George Washington Elementary School,"3611 E 114th St, Chicago, IL 60617",71.0,61.0,56.0,68.0,51.0,-0.03853651377697303,43572.0
232,George Washington High School,"3535 E 114th St, Chicago, IL 60617",64.0,55.0,38.0,56.0,53.0,0.5964971429883373,43572.0
233,George Westinghouse College Prep,"3223 W Franklin Blvd, Chicago, IL 60624",91.0,82.0,76.0,89.0,72.0,-0.711306464451916,28695.0
234,Gerald Delgado Kanoon Elementary Magnet School,"2233 S Kedzie Ave, Chicago, IL 60623",78.0,70.0,53.0,74.0,58.0,-0.46291780900588175,34670.0
235,Great Lakes Academy Charter School,"8401 S Saginaw Ave, Chicago, IL 60617",,48.0,48.0,53.0,,0.6653528877636359,43572.0
236,Greater Lawndale High School For Social Justice,"3120 S Kostner Ave, Chicago, IL 60623",83.0,85.0,66.0,74.0,56.0,-0.6615855082617466,34670.0
237,Grover Cleveland Elementary School,"3121 W Byron St, Chicago, IL 60618",76.0,58.0,57.0,65.0,41.0,0.16462891945838007,55303.0
238,Gurdon S Hubbard High School,"6200 S Hamlin Ave, Chicago, IL 60629",69.0,72.0,65.0,74.0,53.0,-0.49555432030404195,50099.0
239,Gwendolyn Brooks College Preparatory Academy HS,"250 E 111th St, Chicago, IL 60628",72.0,66.0,52.0,71.0,51.0,-0.1770317207266304,47232.0
240,Hannah G Solomon Elementary School,"6206 N Hamlin Ave, Chicago, IL 60659",72.0,44.0,42.0,57.0,58.0,0.520838908494295,55851.0
241,Hanson Park Elementary School,"5411 W Fullerton Ave, Chicago, IL 60639",60.0,41.0,49.0,57.0,32.0,0.6832464843669035,50923.0
242,Harold Washington Elementary School,"9130 S University Ave, Chicago, IL 60619",58.0,49.0,44.0,46.0,29.0,0.7192262475257231,42754.0
243,Harriet Beecher Stowe Elementary School,"3444 W Wabansia Ave, Chicago, IL 60647",60.0,35.0,38.0,56.0,43.0,0.7239597493501334,46572.0
244,Harriet E Sayre Elementary Language Academy,"1850 N Newland Ave, Chicago, IL 60707",66.0,26.0,22.0,51.0,52.0,0.6387079704947054,60345.0
245,Hawthorne Elementary Scholastic Academy,"3319 N Clifton Ave, Chicago, IL 60657",76.0,51.0,51.0,75.0,47.0,0.06749322972729904,74895.0
246,Helen M Hefferan Elementary School,"4409 W Wilcox St, Chicago, IL 60624",97.0,61.0,60.0,57.0,92.0,-0.44546676739775265,28695.0
247,Helen Peirce International Studies ES,"1423 W Bryn Mawr Ave, Chicago, IL 60660",78.0,54.0,43.0,73.0,53.0,0.13134137650691655,45169.0
248,Helge A Haugan Elementary School,"4540 N Hamlin Ave, Chicago, IL 60625",87.0,65.0,51.0,57.0,58.0,-0.20352745736673145,53288.0
249,Henry Clay Elementary School,"13231 S Burley Ave, Chicago, IL 60633",63.0,48.0,39.0,54.0,42.0,0.7048298636809954,50754.0
250,Henry D Lloyd Elementary School,"2103 N Lamon Ave, Chicago, IL 60639",,53.0,53.0,59.0,,0.5067425320727219,50923.0
251,Henry H Nash Elementary School,"4837 W Erie St, Chicago, IL 60644",94.0,66.0,52.0,62.0,88.0,-0.4921752567264963,35248.0
252,Henry O Tanner Elementary School,"7350 S Evans Ave, Chicago, IL 60619",89.0,71.0,59.0,63.0,63.0,-0.5662110113671542,42754.0
253,Henry R Clissold Elementary School,"2350 W 110th Pl, Chicago, IL 60643",57.0,45.0,40.0,60.0,30.0,0.6395060405682139,62868.0
254,Hiram H Belding Elementary School,"4257 N Tripp Ave, Chicago, IL 60641",72.0,78.0,75.0,90.0,54.0,-0.6447187499382988,54544.0
255,Hope College Preparatory High School,"5515 S Lowe Ave, Chicago, IL 60621",72.0,59.0,61.0,45.0,66.0,0.11038818821576508,23875.0
256,Hope Institute Learning Academy,"1628 W Washington, Chicago, IL 60612",,89.0,84.0,95.0,,-0.681806468108533,31941.0
257,Horace Greeley Elementary School,"832 W Sheridan Rd, Chicago, IL 60613",60.0,70.0,59.0,81.0,25.0,0.028260724823105248,63528.0
258,Horace Mann Elementary School,"8050 S Chappel Ave, Chicago, IL 60617",95.0,71.0,65.0,60.0,57.0,-0.5473738451344365,43572.0
259,Horizon Science Academy Southwest Chicago Charter,"5401 S Western Ave, Chicago, IL 60609",38.0,32.0,31.0,45.0,20.0,0.6693009337150402,31357.0
260,Hyde Park Academy High School,"6220 S Stony Island Ave, Chicago, IL 60637",64.0,47.0,43.0,37.0,49.0,0.6690030895504746,30244.0
261,Hyman G Rickover Naval Academy High School,"5900 N Glenwood Ave, Chicago, IL 60660",68.0,62.0,59.0,78.0,63.0,-0.4330589252300915,45169.0
262,Ida B Wells Preparatory Elementary Academy,"249 E 37th St, Chicago, IL 60653",90.0,69.0,55.0,68.0,43.0,-0.22975939025012565,18464.0
263,Infinity Math Science and Technology High School,"3120 S Kostner Ave, Chicago, IL 60623",72.0,63.0,52.0,62.0,56.0,0.03811483594435027,34670.0
264,Instituto Health Sciences Career Academy,"2520 S Western Ave, Chicago, IL 60608",65.0,31.0,26.0,43.0,51.0,0.6899536576222203,33821.0
265,Inter-American Elementary Magnet School,"851 W Waveland Ave, Chicago, IL 60613",70.0,49.0,38.0,85.0,20.0,0.34897792763954355,63528.0
266,Intrinsic Charter School,"4540 W Belmont Ave, Chicago, IL 60641",75.0,53.0,45.0,84.0,66.0,-0.25111740128639537,54544.0
267,Ira F Aldridge Elementary School,"630 E 131st St, Chicago, IL 60827",87.0,71.0,58.0,70.0,37.0,-0.2976257362745843,39986.0
268,Irene C. Hernandez Middle School for the Advancement of Science,"3510 W 55th St, Chicago, IL 60632",66.0,44.0,37.0,48.0,36.0,0.7383135749629584,46811.0
269,Irma C Ruiz Elementary School,"2410 S Leavitt St, Chicago, IL 60608",87.0,91.0,78.0,94.0,53.0,-0.6751855476457083,33821.0
270,Irvin C Mollison Elementary School,"4415 S Dr Martin L King Jr Dr, Chicago, IL 60653",57.0,17.0,23.0,29.0,42.0,0.627403526877689,18464.0
271,Isabelle C O'Keeffe Elementary School,"6940 S Merrill Ave, Chicago, IL 60649",82.0,35.0,45.0,37.0,69.0,0.46262525908807184,35616.0
272,Jackie Robinson Elementary School,"4225 S Lake Park Ave, Chicago, IL 60653",,74.0,75.0,88.0,,-0.604109969612252,18464.0
273,Jacob Beidler Elementary School,"3151 W Walnut St, Chicago, IL 60612",92.0,63.0,53.0,61.0,84.0,-0.44886041852634667,31941.0
274,Jacqueline B Vaughn Occupational High School,"4355 N Linder Ave, Chicago, IL 60641",73.0,86.0,70.0,91.0,57.0,-0.6694110707967137,54544.0
275,James B Farnsworth Elementary School,"5414 N Linder Ave, Chicago, IL 60630",60.0,84.0,76.0,89.0,38.0,-0.43466557385262433,60553.0
276,James B McPherson Elementary School,"4728 N Wolcott Ave, Chicago, IL 60640",75.0,84.0,70.0,81.0,51.0,-0.6499635726866532,44410.0
277,James G Blaine Elementary School,"1420 W Grace St, Chicago, IL 60613",66.0,64.0,68.0,89.0,43.0,-0.3487098464813316,63528.0
278,James Hedges Elementary School,"4747 S Winchester Ave, Chicago, IL 60609",50.0,37.0,28.0,50.0,22.0,0.6905184323414514,31357.0
279,James Madison Elementary School,"7433 S Dorchester Ave, Chicago, IL 60619",80.0,63.0,61.0,62.0,57.0,-0.3300939578759699,42754.0
280,James Monroe Elementary School,"3651 W Schubert Ave, Chicago, IL 60647",65.0,66.0,58.0,63.0,39.0,0.2273075455654163,46572.0
281,James N Thorp Elementary School,"8914 S Buffalo Ave, Chicago, IL 60617",82.0,48.0,49.0,53.0,67.0,0.22815229318462169,43572.0
282,James Otis Elementary School,"525 N Armour St, Chicago, IL 60622",66.0,45.0,30.0,53.0,43.0,0.6963427024496724,54344.0
283,James R Doolittle Jr Elementary School,"535 E 35th St, Chicago, IL 60616",49.0,31.0,22.0,15.0,22.0,0.6541817703721795,41111.0
284,James Russell Lowell Elementary School,"3320 W Hirsch St, Chicago, IL 60651",65.0,72.0,60.0,75.0,49.0,-0.3368064914161936,41711.0
285,James Shields Elementary School,"4250 S Rockwell St, Chicago, IL 60632",,70.0,61.0,72.0,,-0.5695131048650999,46811.0
286,James Shields Middle School,"2611 W 48th St, Chicago, IL 60632",80.0,88.0,80.0,65.0,38.0,-0.4958314048009679,46811.0
287,James Wadsworth Elementary School,"6650 S Ellis Ave, Chicago, IL 60637",86.0,52.0,52.0,47.0,60.0,0.24034762982367605,30244.0
288,James Ward Elementary School,"2701 S Shields Ave, Chicago, IL 60616",59.0,70.0,69.0,84.0,37.0,-0.25256842852179484,41111.0
289,James Weldon Johnson Elementary School,"1420 S Albany Ave, Chicago, IL 60623",89.0,83.0,66.0,51.0,58.0,-0.481178930801081,34670.0
290,Jane A Neil Elementary School,"8555 S Michigan Ave, Chicago, IL 60619",60.0,50.0,44.0,49.0,35.0,0.7192622672986296,42754.0
291,Jane Addams Elementary School,"10810 S Avenue H, Chicago, IL 60617",72.0,68.0,48.0,66.0,47.0,0.069942874028664,43572.0
292,Jean Baptiste Beaubien Elementary School,"5025 N Laramie Ave, Chicago, IL 60630",78.0,58.0,63.0,74.0,57.0,-0.40036377673469037,60553.0
293,Jensen Elementary Scholastic Academy,"3030 W Harrison St, Chicago, IL 60612",,67.0,57.0,64.0,,-0.19421925770685833,31941.0
294,Jesse Owens Elementary Community Academy,"12302 S State St, Chicago, IL 60628",90.0,67.0,61.0,59.0,84.0,-0.5540712868254348,47232.0
295,Jesse Sherwood Elementary School,"245 W 57th St, Chicago, IL 60621",94.0,63.0,56.0,77.0,85.0,-0.5415931480093351,23875.0
296,Johann W von Goethe Elementary School,"2236 N Rockwell St, Chicago, IL 60647",64.0,74.0,66.0,83.0,36.0,-0.3145010470722386,46572.0
297,John A Walsh Elementary School,"2015 S Peoria St, Chicago, IL 60608",66.0,61.0,42.0,73.0,33.0,0.3883671787989863,33821.0
298,John B Drake Elementary School,"2710 S Dearborn St, Chicago, IL 60616",89.0,80.0,74.0,86.0,84.0,-0.7333116329259397,41111.0
299,John B Murphy Elementary School,"3539 W Grace St, Chicago, IL 60618",88.0,37.0,38.0,67.0,75.0,0.10694900006346876,55303.0
300,John Barry Elementary School,"2828 N Kilbourn Ave, Chicago, IL 60641",67.0,59.0,59.0,66.0,41.0,0.2268152035440027,54544.0
301,John C Burroughs Elementary School,"3542 S Washtenaw Ave, Chicago, IL 60632",77.0,72.0,69.0,67.0,59.0,-0.5975647673384199,46811.0
302,John C Coonley Elementary School,"4046 N Leavitt St, Chicago, IL 60618",73.0,78.0,69.0,98.0,56.0,-0.6377169006883088,55303.0
303,John C Dore Elementary School,"6108 S Natoma Ave, Chicago, IL 60638",73.0,72.0,60.0,80.0,37.0,-0.3130024249230926,56616.0
304,John Charles Haines Elementary School,"247 W 23rd Pl, Chicago, IL 60616",61.0,54.0,54.0,71.0,52.0,0.2618628763111627,41111.0
305,John D Shoop Math-Science Technical Academy ES,"11140 S Bishop St, Chicago, IL 60643",93.0,67.0,66.0,53.0,89.0,-0.49085687577112797,62868.0
306,John F Eberhart Elementary School,"3400 W 65th Pl, Chicago, IL 60629",87.0,49.0,57.0,62.0,52.0,0.05589824091648733,50099.0
307,John F Kennedy High School,"6325 W 56th St, Chicago, IL 60638",71.0,42.0,30.0,57.0,50.0,0.6281825731949837,56616.0
308,John Fiske Elementary School,"6020 S Langley Ave, Chicago, IL 60637",99.0,95.0,90.0,99.0,85.0,-0.6627331199339858,30244.0
309,John Foster Dulles Elementary School,"6311 S Calumet Ave, Chicago, IL 60637",79.0,53.0,55.0,47.0,66.0,0.1928114962584122,30244.0
310,John Greenleaf Whittier Elementary School,"1900 W 23rd St, Chicago, IL 60608",84.0,87.0,76.0,97.0,56.0,-0.6806462739680776,33821.0
311,John H Hamline Elementary School,"4747 S Bishop St, Chicago, IL 60609",47.0,37.0,28.0,46.0,29.0,0.705079998481906,31357.0
312,John H Kinzie Elementary School,"5625 S Mobile Ave, Chicago, IL 60638",85.0,88.0,72.0,89.0,64.0,-0.7272802884229784,56616.0
313,John H Vanderpoel Elementary Magnet School,"9510 S Prospect Ave, Chicago, IL 60643",64.0,39.0,30.0,64.0,60.0,0.5202277163895821,62868.0
314,John Hancock College Preparatory High School,"4034 W 56th St, Chicago, IL 60629",91.0,78.0,74.0,78.0,71.0,-0.7535729401184922,50099.0
315,John Harvard Elementary School of Excellence,"7525 S Harvard, Chicago, IL 60620",64.0,69.0,66.0,48.0,35.0,0.3029518021836402,45717.0
316,John Hay Elementary Community Academy,"1018 N Laramie Ave, Chicago, IL 60651",78.0,69.0,57.0,62.0,31.0,0.11515332258525839,41711.0
317,John J Audubon Elementary School,"3500 N Hoyne Ave, Chicago, IL 60618",66.0,64.0,50.0,78.0,59.0,-0.24898106046614932,55303.0
318,John J Pershing Elementary Humanities Magnet,"3200 S Calumet Ave, Chicago, IL 60616",95.0,67.0,50.0,69.0,77.0,-0.5568817285998712,41111.0
319,John L Marsh Elementary School,"9822 S Exchange Ave, Chicago, IL 60617",71.0,50.0,53.0,60.0,54.0,0.39948130050386166,43572.0
320,John M Harlan Community Academy High School,"9652 S Michigan Ave, Chicago, IL 60628",64.0,32.0,31.0,39.0,48.0,0.7226410855829376,47232.0
321,John Marshall Metropolitan High School,"3250 W Adams St, Chicago, IL 60624",90.0,75.0,56.0,81.0,80.0,-0.6447192114540036,28695.0
322,John Milton Gregory Elementary School,"3715 W Polk St, Chicago, IL 60624",81.0,76.0,70.0,49.0,60.0,-0.373993331266257,28695.0
323,John Palmer Elementary School,"5051 N Kenneth Ave, Chicago, IL 60630",73.0,51.0,54.0,69.0,57.0,0.05644035696286,60553.0
324,John Spry Elementary Community School,"2400 S Marshall Blvd, Chicago, IL 60623",66.0,49.0,46.0,62.0,42.0,0.5910925807685447,34670.0
325,John T McCutcheon Elementary School,"4865 N Sheridan Rd, Chicago, IL 60640",98.0,75.0,70.0,63.0,89.0,-0.646196362475513,44410.0
326,John T Pirie Fine Arts & Academic Center ES,"650 E 85th St, Chicago, IL 60619",79.0,73.0,61.0,61.0,47.0,-0.3150419279892667,42754.0
327,John W Cook Elementary School,"8150 S Bishop St, Chicago, IL 60620",75.0,48.0,11.0,40.0,51.0,0.6075581076182761,45717.0
328,John W Garvy Elementary School,"5225 N Oak Park Ave, Chicago, IL 60656",67.0,55.0,52.0,71.0,44.0,0.26924935403078876,59157.0
329,John Whistler Elementary School,"11533 S Ada St, Chicago, IL 60643",85.0,62.0,65.0,79.0,60.0,-0.567960221909217,62868.0
330,Johnnie Colemon Elementary Academy,"1441 W 119th St, Chicago, IL 60643",96.0,82.0,73.0,79.0,67.0,-0.7102658241008484,62868.0
331,Jonathan Burr Elementary School,"1621 W Wabansia Ave, Chicago, IL 60622",94.0,84.0,76.0,88.0,80.0,-0.7351731485049028,54344.0
332,Jonathan Y Scammon Elementary School,"4201 W Henderson St, Chicago, IL 60641",77.0,52.0,56.0,62.0,47.0,0.2646556807620275,54544.0
333,Jordan Elementary Community School,"7414 N Wolcott Ave, Chicago, IL 60626",62.0,39.0,39.0,48.0,41.0,0.743695038614313,38951.0
334,Jose De Diego Elementary Community Academy,"1313 N Claremont Ave, Chicago, IL 60622",69.0,75.0,67.0,75.0,42.0,-0.40082369046246635,54344.0
335,Josefa Ortiz De Dominguez Elementary School,"3000 S Lawndale Ave, Chicago, IL 60623",,56.0,66.0,70.0,,-0.2870551670305689,34670.0
336,Joseph Brennemann Elementary School,"4251 N Clarendon Ave, Chicago, IL 60613",,70.0,72.0,68.0,,-0.5449145172567244,63528.0
337,Joseph E Gary Elementary School,"3740 W 31st St, Chicago, IL 60623",78.0,55.0,47.0,70.0,52.0,0.12381696920080394,34670.0
338,Joseph Jungman Elementary School,"1746 S Miller St, Chicago, IL 60608",93.0,57.0,60.0,64.0,87.0,-0.4822923616479268,33821.0
339,Joseph Kellman Corporate Community ES,"3030 W Arthington St, Chicago, IL 60612",71.0,65.0,46.0,72.0,33.0,0.2517411304806832,31941.0
340,Joseph Lovett Elementary School,"6333 W Bloomingdale Ave, Chicago, IL 60639",92.0,68.0,56.0,78.0,59.0,-0.6156319342024215,50923.0
341,Joseph Warren Elementary School,"9239 S Jeffery Ave, Chicago, IL 60617",88.0,64.0,61.0,46.0,66.0,-0.2414954037329024,43572.0
342,Josephine C Locke Elementary School,"2828 N Oak Park Ave, Chicago, IL 60634",91.0,79.0,68.0,84.0,68.0,-0.7148232880204717,62214.0
343,Joshua D Kershaw Elementary School,"6450 S Lowe Ave, Chicago, IL 60621",72.0,65.0,58.0,73.0,46.0,-0.14889425134830836,23875.0
344,Josiah Pickard Elementary School,"2301 W 21st Pl, Chicago, IL 60608",78.0,81.0,80.0,93.0,59.0,-0.6807105873117367,33821.0
345,Joyce Kilmer Elementary School,"6700 N Greenview Ave, Chicago, IL 60626",97.0,57.0,50.0,75.0,79.0,-0.5014855341170091,38951.0
346,Julia Ward Howe Elementary School of Excellence,"720 N Lorel Ave, Chicago, IL 60644",75.0,32.0,38.0,27.0,41.0,0.6694868871791774,35248.0
347,KIPP Academy Chicago Campus,"4818 W Ohio St, Chicago, IL 60644",95.0,93.0,85.0,68.0,65.0,-0.678070090718818,35248.0
348,KIPP Ascend Charter School,"1616 S Avers Ave, Chicago, IL 60623",86.0,58.0,48.0,54.0,45.0,0.3089418166476683,34670.0
349,KIPP Chicago Charter School - KIPP Bloom,"5515 S Lowe Ave, Chicago, IL 60621",87.0,72.0,67.0,69.0,40.0,-0.3652733520080602,23875.0
350,KIPP One Academy,"730 N Pulaski Rd, Chicago, IL 60624",99.0,86.0,72.0,78.0,94.0,-0.6593810843748829,28695.0
351,Kate S Kellogg Elementary School,"9241 S Leavitt St, Chicago, IL 60620",88.0,78.0,68.0,82.0,70.0,-0.7566567655583972,45717.0
352,Kelvyn Park High School,"4343 W Wrightwood Ave, Chicago, IL 60639",59.0,72.0,43.0,52.0,48.0,0.42190755029936755,50923.0
353,Kenwood Academy High School,"5015 S Blackstone Ave, Chicago, IL 60615",98.0,80.0,72.0,91.0,74.0,-0.7380790502099404,41344.0
354,Kwame Nkrumah Academy Charter School,"314 W 108th St, Chicago, IL 60628",56.0,22.0,24.0,28.0,13.0,0.6590893043114167,47232.0
355,L.E.A.R.N. - 7th Campus,"3021 W Carroll Ave, Chicago, IL 60612",,47.0,53.0,51.0,,0.60812875809059,31941.0
356,L.E.A.R.N. - Charles and Dorothy Campbell Campus,"212 S Francisco Ave, Chicago, IL 60612",,95.0,89.0,97.0,,-0.6535398934896546,31941.0
357,L.E.A.R.N. - Excel Campus,"3021 W Carroll Ave, Chicago, IL 60612",,92.0,87.0,98.0,,-0.6651224385313032,31941.0
358,L.E.A.R.N. - Hunter Perkins Campus,"1700 W. 83rd Street, Chicago, IL 60620",67.0,78.0,79.0,70.0,40.0,-0.4115392873790319,45717.0
359,L.E.A.R.N. - Middle School Campus,"3021 W Carroll Ave, Chicago, IL 60612",78.0,61.0,72.0,36.0,34.0,0.2971543874517196,31941.0
360,L.E.A.R.N. - Romano Butler Campus,"1132 S Homan Ave, Chicago, IL 60624",71.0,51.0,52.0,41.0,36.0,0.6053061306505003,28695.0
361,L.E.A.R.N. - South Chicago Campus,"8914 S. Buffalo Avenue, Chicago, IL 60617",85.0,55.0,49.0,42.0,33.0,0.5227629482412589,43572.0
362,LaSalle Elementary Language Academy,"1734 N Orleans St, Chicago, IL 60614",81.0,55.0,39.0,73.0,67.0,-0.07656506418020817,93702.0
363,LaSalle II Magnet Elementary School,"1148 N Honore St, Chicago, IL 60622",70.0,77.0,73.0,80.0,48.0,-0.5620333487555221,54344.0
364,Lake View High School,"4015 N Ashland Ave, Chicago, IL 60613",52.0,48.0,30.0,51.0,44.0,0.661939781746264,63528.0
365,Langston Hughes Elementary School,"240 W 104th St, Chicago, IL 60628",75.0,65.0,59.0,58.0,33.0,0.2461757643333344,47232.0
366,Laughlin Falconer Elementary School,"3020 N Lamon Ave, Chicago, IL 60641",81.0,69.0,62.0,66.0,65.0,-0.5711807617609805,54544.0
367,Laura S Ward Elementary School,"646 N Lawndale Ave, Chicago, IL 60624",96.0,61.0,59.0,69.0,57.0,-0.43434331764778045,28695.0
368,Lawndale Elementary Community Academy,"3500 W Douglas Blvd, Chicago, IL 60623",78.0,52.0,40.0,44.0,37.0,0.6301470454552259,34670.0
369,Lazaro Cardenas Elementary School,"2345 S Millard Ave, Chicago, IL 60623",,71.0,73.0,68.0,,-0.5888702810775441,34670.0
370,Legacy Charter School,"3318 West Ogden Ave, Chicago, IL 60623",79.0,54.0,55.0,58.0,53.0,0.21200474529057572,34670.0
371,Legal Prep Charter Academy,"4319 W Washington Blvd, Chicago, IL 60612",64.0,67.0,67.0,53.0,48.0,0.10615043694728298,31941.0
372,Leif Ericson Elementary Scholastic Academy,"3600 W 5th Ave, Chicago, IL 60624",77.0,52.0,63.0,62.0,32.0,0.30074948575358257,28695.0
373,Lenart Elementary Regional Gifted Center,"8101 S Lasalle St, Chicago, IL 60620",46.0,43.0,52.0,83.0,45.0,0.3791633089235859,45717.0
374,Leslie Lewis Elementary School,"1431 N Leamington Ave, Chicago, IL 60651",99.0,96.0,88.0,82.0,75.0,-0.7063091126781375,41711.0
375,Lillian R. Nicholson STEM Academy,"6006 S Peoria St, Chicago, IL 60621",,16.0,10.0,29.0,,0.5639705378933739,23875.0
376,Lionel Hampton Fine & Performing Arts ES,"3434 W 77th St, Chicago, IL 60652",46.0,66.0,49.0,59.0,22.0,0.4678598204016582,64997.0
377,Little Village Elementary School,"2620 S Lawndale Ave, Chicago, IL 60623",60.0,59.0,63.0,55.0,46.0,0.3670759860859211,34670.0
378,Logandale Middle School,"3212 W George St, Chicago, IL 60618",64.0,73.0,63.0,69.0,44.0,-0.21436953521578014,55303.0
379,Lorenz Brentano Math & Science Academy ES,"2723 N Fairfield Ave, Chicago, IL 60647",80.0,68.0,63.0,78.0,38.0,-0.372281172391726,46572.0
380,Louis A Agassiz Elementary School,"2851 N Seminary Ave, Chicago, IL 60657",83.0,95.0,78.0,96.0,68.0,-0.6357925968624513,74895.0
381,Louis Nettelhorst Elementary School,"3252 N Broadway St, Chicago, IL 60657",43.0,48.0,48.0,77.0,31.0,0.40274772392142216,74895.0
382,Louis Pasteur Elementary School,"5825 S Kostner Ave, Chicago, IL 60629",,59.0,50.0,66.0,,0.23301658770914216,50099.0
383,Louisa May Alcott College Preparatory ES,"2625 N Orchard St, Chicago, IL 60614",67.0,61.0,53.0,93.0,39.0,-0.10661082725865205,93702.0
384,Louisa May Alcott College Preparatory HS,"2957 N Hoyne Ave, Chicago, IL 60618",88.0,95.0,90.0,99.0,77.0,-0.687570254606997,55303.0
385,Ludwig Van Beethoven Elementary School,"25 W 47th St, Chicago, IL 60609",77.0,39.0,31.0,63.0,38.0,0.5984003052677768,31357.0
386,Luke O'Toole Elementary School,"6550 S Seeley Ave, Chicago, IL 60636",86.0,72.0,60.0,55.0,59.0,-0.38525363895809767,33080.0
387,Luther Burbank Elementary School,"2035 N Mobile Ave, Chicago, IL 60639",87.0,84.0,79.0,81.0,75.0,-0.7486426739710741,50923.0
388,Lyman A Budlong Elementary School,"2701 W Foster Ave, Chicago, IL 60625",84.0,63.0,53.0,72.0,57.0,-0.41315257447416454,53288.0
389,Mahalia Jackson Elementary School,"917 W 88th St, Chicago, IL 60620",59.0,55.0,41.0,52.0,44.0,0.6802950189310044,45717.0
390,Mancel Talcott Elementary School,"1840 W Ohio St, Chicago, IL 60622",67.0,70.0,47.0,71.0,45.0,0.03485934439776487,54344.0
391,Manley Career Academy High School,"2935 W Polk St, Chicago, IL 60612",75.0,69.0,65.0,64.0,41.0,-0.16971175277013156,31941.0
392,Manuel Perez Elementary School,"1241 W 19th St, Chicago, IL 60608",99.0,83.0,73.0,84.0,92.0,-0.6871839163817423,33821.0
393,Marcus Moziah Garvey Elementary School,"10309 S Morgan St, Chicago, IL 60643",75.0,83.0,77.0,75.0,46.0,-0.5564921782507748,62868.0
394,Maria Saucedo Elementary Scholastic Academy,"2850 W 24th Blvd, Chicago, IL 60623",57.0,40.0,40.0,64.0,36.0,0.6691046796107082,34670.0
395,Mariano Azuela Elementary School,"4707 W Marquette Rd, Chicago, IL 60629",63.0,49.0,38.0,59.0,40.0,0.6789656593577353,50099.0
396,Marie Sklodowska Curie Metropolitan High School,"4959 S Archer Ave, Chicago, IL 60632",60.0,54.0,46.0,52.0,48.0,0.6448282881445185,46811.0
397,Marine Leadership Academy at Ames,"1920 N Hamlin Ave, Chicago, IL 60647",90.0,76.0,74.0,80.0,63.0,-0.7461656852805427,46572.0
398,Mark Sheridan Math & Science Academy,"533 W 27th St, Chicago, IL 60616",57.0,63.0,52.0,62.0,43.0,0.4300154654792469,41111.0
399,Mark Twain Elementary School,"5134 S Lotus Ave, Chicago, IL 60638",58.0,54.0,60.0,54.0,34.0,0.534299073080679,56616.0
400,Marquette Elementary School,"6550 S Richmond St, Chicago, IL 60629",77.0,52.0,44.0,53.0,45.0,0.5649096734663271,50099.0
