,school_name,address,Ambitious_Instruction,Collaborative_Teachers,Effective_Leaders,Involved_Families,Supportive_Environment,signed_silhouettes,income
161,Edison Park Elementary School,"6220 N Olcott Ave, Chicago, IL 60631",69.0,35.0,49.0,72.0,56.0,0.3325574122976992,67465.0
162,Edmond Burke Elementary School,"5356 S King Dr, Chicago, IL 60615",74.0,66.0,60.0,58.0,59.0,-0.22824696049205592,41344.0
163,Edward A Bouchet Math & Science Academy ES,"7355 S Jeffery Blvd, Chicago, IL 60649",96.0,87.0,71.0,77.0,69.0,-0.7284742874939232,35616.0
164,Edward Beasley Elementary Magnet Academic Center,"5255 S State St, Chicago, IL 60609",82.0,70.0,51.0,78.0,45.0,-0.3323629849353201,31357.0
165,Edward Coles Elementary Language Academy,"8441 S Yates Blvd, Chicago, IL 60617",87.0,56.0,48.0,36.0,36.0,0.5079109803417988,43572.0
166,Edward Everett Elementary School,"3419 S Bell Ave, Chicago, IL 60608",,83.0,71.0,90.0,,-0.7097073771180484,33821.0
167,Edward Jenner Elementary Academy of the Arts,"1119 N Cleveland Ave, Chicago, IL 60610",53.0,34.0,30.0,45.0,40.0,0.6575732948246883,70682.0
168,Edward K Ellington Elementary School,"243 N Parkside Ave, Chicago, IL 60644",92.0,66.0,63.0,59.0,95.0,-0.5207196860051553,35248.0
169,Edward N Hurley Elementary School,"3849 W 69th Pl, Chicago, IL 60629",60.0,62.0,48.0,66.0,38.0,0.44334134571403516,50099.0
170,Edward Tilden Career Community Academy HS,"4747 S Union Ave, Chicago, IL 60609",61.0,72.0,60.0,43.0,49.0,0.279687763804482,31357.0
171,Edward White Elementary Career Academy,"1136 W 122nd St, Chicago, IL 60643",69.0,53.0,52.0,50.0,44.0,0.5209227274565944,62868.0
172,Edwin G. Foreman College and Career Academy,"3235 N Leclaire Ave, Chicago, IL 60641",73.0,35.0,23.0,39.0,59.0,0.6249907358298247,54544.0
173,Eli Whitney Elementary School,"2815 S Komensky Ave, Chicago, IL 60623",64.0,46.0,39.0,52.0,39.0,0.7107775480061078,34670.0
174,Eliza Chappell Elementary School,"2135 W Foster Ave, Chicago, IL 60625",80.0,80.0,77.0,94.0,60.0,-0.7063528886125016,53288.0
175,Elizabeth H Sutherland Elementary School,"10015 S Leavitt St, Chicago, IL 60643",59.0,58.0,65.0,81.0,41.0,-0.041828476187279896,62868.0
176,Ella Flagg Young Elementary School,"1434 N Parkside Ave, Chicago, IL 60651",71.0,64.0,58.0,74.0,39.0,-0.05309982757558292,41711.0
177,Ellen H Richards Career Academy High School,"5009 S Laflin St, Chicago, IL 60609",46.0,50.0,59.0,37.0,42.0,0.6072467129203825,31357.0
178,Ellen Mitchell Elementary School,"2233 W Ohio St, Chicago, IL 60612",87.0,91.0,81.0,94.0,72.0,-0.7062070074928989,31941.0
179,Emil G Hirsch Metropolitan High School,"7740 S Ingleside Ave, Chicago, IL 60619",78.0,55.0,44.0,51.0,80.0,0.05547251363593403,42754.0
180,Emiliano Zapata Elementary Academy,"2728 S Kostner Ave, Chicago, IL 60623",92.0,71.0,71.0,73.0,69.0,-0.6954667269127023,34670.0
181,Emmett Louis Till Math and Science Academy,"6543 S Champlain Ave, Chicago, IL 60637",93.0,71.0,58.0,60.0,87.0,-0.5319766981320622,30244.0
182,Enrico Tonti Elementary School,"5815 S Homan Ave, Chicago, IL 60629",,38.0,38.0,46.0,,0.7037452645492817,50099.0
183,Eric Solorio Academy High School,"5400 S St Louis Ave, Chicago, IL 60632",80.0,81.0,70.0,64.0,70.0,-0.6771755951280255,46811.0
184,Erie Elementary Charter School,"1405 N Washtenaw Ave, Chicago, IL 60622",47.0,38.0,33.0,44.0,33.0,0.7234829495728962,54344.0
185,Ernst Prussing Elementary School,"4650 N Menard Ave, Chicago, IL 60630",62.0,53.0,51.0,63.0,34.0,0.5170125019059892,60553.0
