,Address,Ambitious_Instruction,Collaborative_Teachers,Effective_Leaders,Involved_Families,Supportive_Environment
George Manierre Elementary School,"1420 N Hudson Ave, Chicago, IL 60610",64,50,44,52,36
George Rogers Clark Elementary School,"1045 S Monitor Ave, Chicago, IL 60644",98,83,68,93,86
George W Curtis Elementary School,"32 E 115th St, Chicago, IL 60628",81,63,65,61,46
George W Tilton Elementary School,"223 N Keeler Ave, Chicago, IL 60624",75,67,60,54,59
George Washington Carver Military Academy HS,"13100 S Doty Ave, Chicago, IL 60627",75,74,59,82,56
George Washington Carver Primary School,"901 E 133rd Pl, Chicago, IL 60827",61,26,4,8,33
George Washington Elementary School,"3611 E 114th St, Chicago, IL 60617",71,61,56,68,51
George Washington High School,"3535 E 114th St, Chicago, IL 60617",64,55,38,56,53
George Westinghouse College Prep,"3223 W Franklin Blvd, Chicago, IL 60624",91,82,76,89,72
Gerald Delgado Kanoon Elementary Magnet School,"2233 S Kedzie Ave, Chicago, IL 60623",78,70,53,74,58
Great Lakes Academy Charter School,"8401 S Saginaw Ave, Chicago, IL 60617",-1,48,48,53,-1
Greater Lawndale High School For Social Justice,"3120 S Kostner Ave, Chicago, IL 60623",83,85,66,74,56
Grover Cleveland Elementary School,"3121 W Byron St, Chicago, IL 60618",76,58,57,65,41
Gurdon S Hubbard High School,"6200 S Hamlin Ave, Chicago, IL 60629",69,72,65,74,53
Gwendolyn Brooks College Preparatory Academy HS,"250 E 111th St, Chicago, IL 60628",72,66,52,71,51
Hannah G Solomon Elementary School,"6206 N Hamlin Ave, Chicago, IL 60659",72,44,42,57,58
Hanson Park Elementary School,"5411 W Fullerton Ave, Chicago, IL 60639",60,41,49,57,32
Harold Washington Elementary School,"9130 S University Ave, Chicago, IL 60619",58,49,44,46,29
Harriet Beecher Stowe Elementary School,"3444 W Wabansia Ave, Chicago, IL 60647",60,35,38,56,43
Harriet E Sayre Elementary Language Academy,"1850 N Newland Ave, Chicago, IL 60707",66,26,22,51,52
Hawthorne Elementary Scholastic Academy,"3319 N Clifton Ave, Chicago, IL 60657",76,51,51,75,47
Helen M Hefferan Elementary School,"4409 W Wilcox St, Chicago, IL 60624",97,61,60,57,92
Helen Peirce International Studies ES,"1423 W Bryn Mawr Ave, Chicago, IL 60660",78,54,43,73,53
Helge A Haugan Elementary School,"4540 N Hamlin Ave, Chicago, IL 60625",87,65,51,57,58
Henry Clay Elementary School,"13231 S Burley Ave, Chicago, IL 60633",63,48,39,54,42
Henry D Lloyd Elementary School,"2103 N Lamon Ave, Chicago, IL 60639",-1,53,53,59,-1
Henry H Nash Elementary School,"4837 W Erie St, Chicago, IL 60644",94,66,52,62,88
Henry O Tanner Elementary School,"7350 S Evans Ave, Chicago, IL 60619",89,71,59,63,63
Henry R Clissold Elementary School,"2350 W 110th Pl, Chicago, IL 60643",57,45,40,60,30
Hiram H Belding Elementary School,"4257 N Tripp Ave, Chicago, IL 60641",72,78,75,90,54
Hope College Preparatory High School,"5515 S Lowe Ave, Chicago, IL 60621",72,59,61,45,66
Hope Institute Learning Academy,"1628 W Washington, Chicago, IL 60612",-1,89,84,95,-1
Horace Greeley Elementary School,"832 W Sheridan Rd, Chicago, IL 60613",60,70,59,81,25
Horace Mann Elementary School,"8050 S Chappel Ave, Chicago, IL 60617",95,71,65,60,57
Horizon Science Academy Southwest Chicago Charter,"5401 S Western Ave, Chicago, IL 60609",38,32,31,45,20
Hyde Park Academy High School,"6220 S Stony Island Ave, Chicago, IL 60637",64,47,43,37,49
Hyman G Rickover Naval Academy High School,"5900 N Glenwood Ave, Chicago, IL 60660",68,62,59,78,63
Ida B Wells Preparatory Elementary Academy,"249 E 37th St, Chicago, IL 60653",90,69,55,68,43
Infinity Math Science and Technology High School,"3120 S Kostner Ave, Chicago, IL 60623",72,63,52,62,56
Instituto - Justice Lozano,"2570 S Blue Island Ave, Chicago, IL 60608",52,-1,-1,-1,67
Instituto Health Sciences Career Academy,"2520 S Western Ave, Chicago, IL 60608",65,31,26,43,51
Inter-American Elementary Magnet School,"851 W Waveland Ave, Chicago, IL 60613",70,49,38,85,20
Intrinsic Charter School,"4540 W Belmont Ave, Chicago, IL 60641",75,53,45,84,66
Ira F Aldridge Elementary School,"630 E 131st St, Chicago, IL 60827",87,71,58,70,37
Irene C. Hernandez Middle School for the Advancement of Science,"3510 W 55th St, Chicago, IL 60632",66,44,37,48,36
Irma C Ruiz Elementary School,"2410 S Leavitt St, Chicago, IL 60608",87,91,78,94,53
Irvin C Mollison Elementary School,"4415 S Dr Martin L King Jr Dr, Chicago, IL 60653",57,17,23,29,42
Isabelle C O'Keeffe Elementary School,"6940 S Merrill Ave, Chicago, IL 60649",82,35,45,37,69
Jackie Robinson Elementary School,"4225 S Lake Park Ave, Chicago, IL 60653",-1,74,75,88,-1
